1001,8,US,Oregon
1002,8,US,Oregon
1003,8,US,Oregon
1004,9,US,Oregon
1005,9,US,Oregon
1006,9,US,Oregon
1007,9,US,Oregon
1008,9,US,Oregon
1009,9,US,Oregon
1010,9,US,Oregon
1011,9,US,Oregon
1012,10,US,Oregon
1013,9,US,Oregon
1014,10,US,Oregon
1015,10,US,Oregon
1016,10,US,Oregon
1017,10,US,Oregon
1018,10,US,Oregon
1019,10,US,Oregon
1020,10,US,Oregon
1021,10,US,Oregon
1022,10,US,Oregon
1023,10,US,Oregon
1024,10,US,Oregon
1025,10,US,Oregon
1026,10,US,Oregon
1027,10,US,Oregon
1028,20,US,Oregon
1029,20,US,Oregon
1030,20,US,Oregon
1031,20,US,Oregon
1032,20,US,Oregon
1033,20,US,Oregon
1034,20,US,Oregon
1035,20,US,Oregon
1036,20,US,Oregon
1037,20,US,Oregon
1038,20,US,Oregon
1039,20,US,Oregon
1040,20,US,Oregon
1041,20,US,Oregon
1042,20,US,Oregon
1043,20,US,Oregon
1044,20,US,Oregon
1045,30,US,Oregon
1046,30,US,Oregon
1047,30,US,Oregon
1048,30,US,Oregon
1049,30,US,Oregon
1050,30,US,Oregon
1051,30,US,Oregon
1052,30,US,Oregon
1053,30,US,Oregon
1054,30,US,Oregon
1055,30,US,Oregon
1056,30,US,Oregon
1057,30,US,Oregon
1058,30,US,Washington
1059,40,US,Washington
1060,40,US,Washington
1061,40,US,Washington
1062,40,US,Washington
1063,40,US,Washington
1064,40,US,Washington
1065,40,US,Washington
1066,40,US,Washington
1067,40,US,Washington
1068,40,US,Washington
1069,40,US,Washington
1070,40,US,Washington
1071,40,US,Washington
1072,50,US,Washington
1073,50,US,Washington
1074,50,US,Washington
1075,50,US,Washington
1076,50,US,Washington
1077,50,US,Washington
1078,50,US,Washington
1079,50,US,Washington
1080,50,US,Washington
1081,50,US,Washington
1082,50,US,Washington
1083,50,US,Washington
1084,50,US,Washington
1101,9,US,Oregon
1102,10,US,Oregon
